 Iteration    Calculated Root    Epsilon
           1   1.00000000      0.500000000    
           2   1.25000000      0.250000000    
           3   1.12500000      0.125000000    
           4   1.06250000       6.25000000E-02
           5   1.03125000       3.12500000E-02
           6   1.04687500       1.56250000E-02
           7   1.03906250       7.81250000E-03
           8   1.03515625       3.90625000E-03
           9   1.03320312       1.95312500E-03
          10   1.03417969       9.76562500E-04
          11   1.03466797       4.88281250E-04
          12   1.03491211       2.44140625E-04
          13   1.03503418       1.22070312E-04
          14   1.03509521       6.10351562E-05
          15   1.03506470       3.05175781E-05
          16   1.03507996       1.52587891E-05
          17   1.03508759       7.62939453E-06
          18   1.03508377       3.81469727E-06
          19   1.03508186       1.90734863E-06
          20   1.03508091       9.53674316E-07
 The root is   1.03508091    
 with an epsilon of   9.53674316E-07
