 Bisection Method
 iteration    calc_root    epsilon      
           1   10.0000000       3.00000000    
           2   8.50000000       1.50000000    
           3   8.50000000      0.750000000    
           4   8.50000000      0.375000000    
           5   8.31250000      0.187500000    
           6   8.21875000       9.37500000E-02
           7   8.21875000       4.68750000E-02
           8   8.21875000       2.34375000E-02
           9   8.21875000       1.17187500E-02
          10   8.21289062       5.85937500E-03
          11   8.21289062       2.92968750E-03
          12   8.21142578       1.46484375E-03
          13   8.21142578       7.32421875E-04
          14   8.21105957       3.66210938E-04
          15   8.21105957       1.83105469E-04
          16   8.21096802       9.15527344E-05
          17   8.21096802       4.57763672E-05
          18   8.21094513       2.28881836E-05
          19   8.21093369       1.14440918E-05
 The root is:    8.21093369    
 with an error of   5.72204590E-06
 in           20  iteration.
